emp_id,name,salary,address,loc,email
1,manish,10000,india,,
2,rani,20000,usa,,
3,rinku,55000,india,,
4,neha,12000,usa,,
5,anita,45000,india,,
6,deepak reddy,23000,india,,
7,karen sharma,13500,india,,
8,sneha kumar,74500,india,,
9,laura singh,93000,usa,,
10,deepak miller,85000,usa,,
11,manish nair,99000,usa,,
12,mary iyer,29500,india,,
13,mary patel,21500,usa,,
14,rahul johnson,54000,usa,,
15,rinku miller,78500,india,,
16,james verma,80500,usa,,
17,linda singh,100000,india,,
18,rinku kumar,47000,india,,
19,deepak patel,58500,usa,,
20,emily johnson,30500,usa,,
21,david singh,95500,usa,,
22,amit nair,78000,india,,
23,vikram miller,58500,usa,,
24,laura kumar,97500,usa,,
25,neha kumar,14000,usa,,
26,susan iyer,18000,india,,
27,john singh,93500,usa,,
28,susan miller,28000,usa,,
29,suresh kumar,81500,usa,,
30,karen brown,56000,india,,
31,suresh moore,73000,india,,
32,neha patel,29500,india,,
33,karen verma,59000,usa,,
34,emily moore,42000,india,,
35,anita taylor,44000,usa,,
36,anita gupta,65500,india,,
37,emily,43500,india,,
38,daniel patel,90000,usa,,
39,daniel singh,29500,usa,,
40,vikram taylor,77500,india,,
41,john wilson,12000,india,,
42,linda gupta,40500,india,,
43,meera verma,20500,usa,,
44,amit taylor,26000,india,,
45,william taylor,31000,usa,,
46,sarah davis,37000,india,,
47,asha brown,95500,usa,,
48,michael moore,67500,india,,
49,meera kumar,18000,usa,,
50,rani taylor,39000,india,,
51,manish verma,90500,india,,
52,deepak verma,14000,usa,,
53,amit moore,40000,usa,,
54,jessica singh,79000,india,,
55,william kumar,70500,usa,,
56,arjun patel,22000,usa,,
57,david davis,62500,usa,,
58,neha patel,17500,usa,,
59,mary patel,41500,india,,
60,arjun taylor,67000,india,,
61,karen nair,45500,usa,,
62,meera verma,66500,india,,
63,neha taylor,11500,india,,
64,meera nair,62000,usa,,
65,william singh,61000,india,,
66,vikram brown,10000,usa,,
